Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Bruce Brown,TOR,27,30,11,19,28.3,10.9,4.2,9.1,46.7,0.6,2.1,28.6,1.9,2.4,77.8,1,3.1,4.1,2.8,1,0.9,0.4,2,22.8,2,0,-5.7
Luke Kennard,MEM,27,20,10,10,25.7,10.9,3.7,8.3,44.8,2.8,6,47.1,0.7,0.9,82.4,0.2,2.7,2.9,3.7,1.6,0.5,0.1,0.8,20,0,0,-4.9
T.J. McConnell,IND,32,36,19,17,19,10.9,5,9,55.1,0.2,0.6,31.8,0.7,0.9,78.8,0.5,2.1,2.6,5.7,1.9,1,0.1,1.1,24,2,0,-0.3
Zach Collins,SAS,26,36,9,27,22.1,10.9,4.4,9.2,47.6,0.9,2.8,32.3,1.2,1.8,67.2,1.6,3.8,5.4,2.8,2,0.4,0.8,2.9,23.1,0,0,-7.5
Lonnie Walker IV,BKN,25,28,8,20,18.7,10.9,4.1,9.4,43.9,1.8,4.9,37.5,0.8,1.1,74.2,0.3,2.4,2.7,1.6,0.8,0.5,0.5,1.4,18.5,0,0,0.3
Ivica Zubac,LAC,27,34,21,13,26.4,10.9,4.6,7.5,60.5,0,0,0,1.7,2.2,77.6,2.9,6.2,9.1,1.4,1.1,0.4,1.3,2.7,27.7,11,0,2.9
Moritz Wagner,ORL,26,39,17,22,18.2,10.8,4.2,6.7,63,0.5,1.3,38.5,1.9,2.3,82,1.3,2.9,4.2,1.3,1.1,0.5,0.3,2.1,19.2,1,0,0.9
P.J. Washington,DAL,25,38,15,23,29.2,10.8,4,9.9,40.3,1.7,5.4,31.9,1.1,1.7,62.5,1.2,4.2,5.4,1.9,1.3,1,0.7,2.3,24.2,2,0,-2.4
Amen Thompson,HOU,21,31,12,19,23.2,10.7,4.3,7.7,56.3,0.2,0.9,17.2,1.9,2.8,69,2.6,4.2,6.9,3,1.7,1.3,0.8,2.2,27.9,10,1,-0.6
Jaden McDaniels,MIN,23,37,23,14,29.2,10.7,4.5,9.2,48.2,0.9,3.4,28.2,0.9,1,84.2,0.8,2.4,3.2,1.3,0.8,0.9,0.4,3.2,19.6,0,0,1.6
Isaiah Stewart,DET,22,18,3,15,30.6,10.7,4.1,8.6,47.7,1.4,3.7,39.4,1.1,1.5,70.4,2.1,4.8,6.9,1.5,1.4,0.3,0.8,2.4,23.1,3,0,-5.9
Herbert Jones,NOP,25,38,26,12,30.5,10.7,3.7,7.4,49.5,1.6,3.6,43.8,1.8,2.1,83.8,1.1,2.4,3.6,2.5,1.4,1.1,0.8,2.9,23,0,0,3.2
Patrick Williams,CHI,22,20,6,14,28.1,10.7,3.8,8.5,45,1.7,3.7,45.2,1.5,1.8,82.9,1.3,3.1,4.4,1.6,1.3,0.7,0.8,2.3,21.4,0,0,-1.4
Eric Gordon,PHX,35,37,21,16,27.7,10.6,3.8,9.4,41,2.2,6.2,35.4,0.7,0.9,81.8,0.3,1.5,1.8,1.9,0.9,0.9,0.5,1.2,19,0,0,-1.2
Vince Williams Jr.,MEM,23,26,11,15,27.8,10.4,3.4,7.7,44.5,1.7,4.1,41.5,1.9,2.2,84.5,1.3,4.3,5.7,3.1,1.3,0.9,0.6,2.7,25.1,1,0,0.3
Onyeka Okongwu,ATL,23,27,10,17,25.6,10.4,4.2,6.7,63.3,0.6,1.7,35.6,1.4,1.9,71.2,2.4,4.5,6.9,1.4,0.7,0.6,1.1,2.9,25.1,3,0,-1.3
Spencer Dinwiddie,LAL,31,35,16,19,27.4,10.4,3.3,8.6,38.4,1.7,4.9,33.9,2.1,2.7,77.9,0.5,2.3,2.9,5,1.3,0.6,0.3,2,22.9,3,0,-1.3
Nick Richards,CHA,26,34,7,27,27.1,10.4,4.3,6.2,68.9,0,0,0,1.8,2.5,71.4,3,5.9,8.9,0.8,1,0.4,1.2,2.6,26.2,13,0,-8.7
Luguentz Dort,OKC,25,40,23,17,28.5,10.2,3.4,8,42,1.8,4.8,37,1.7,2.2,79.3,1,2.7,3.7,1.4,1.1,0.9,0.4,3.1,19.5,0,0,-0.1
Santi Aldama,MEM,23,31,15,16,25.7,10.2,3.8,8.8,43.4,1.5,4.5,33.3,1,1.4,69.8,1,4.7,5.7,2.3,1.3,0.7,1.1,1.2,24.7,3,0,-4.6
Jake LaRavia,MEM,22,17,6,11,23.6,10.1,3.1,8.6,36.1,1.5,4.4,33.3,2.4,3.1,77.4,1.5,2.6,4.1,1.7,1.3,0.6,0.4,1.9,19.3,2,0,-4.5
Caleb Martin,MIA,28,28,17,11,28.5,10.1,3.9,9,43,1.1,3.7,30.1,1.3,1.7,76.6,1,3.5,4.5,2.1,1.3,0.8,0.5,2,21.3,1,0,1.8
Malaki Branham,SAS,20,40,10,30,21.3,10,3.9,9,43.3,1.5,3.9,38.7,0.7,0.8,90.3,0.4,1.6,2,1.8,1.3,0.4,0.1,1.5,15.1,0,0,-5.8
Reggie Jackson,DEN,34,41,24,17,22.5,10,4,8.9,44.5,1.2,3.3,36.3,0.8,1,79.1,0.3,1.4,1.7,3.9,1.4,0.5,0.1,1.6,18.5,1,0,-3.1
Jusuf Nurkic,PHX,29,37,23,14,27,9.8,3.8,7.4,51.8,0.2,0.8,19.4,2.1,3.3,62.3,2.8,7.6,10.4,4.3,2.2,1.3,1.1,3.2,33.5,11,0,5.2
Taurean Prince,LAL,30,39,19,20,28.2,9.8,3.6,7.5,47.4,2,4.6,43.8,0.7,0.9,79.4,0.3,2.6,2.9,1.6,1.1,0.7,0.5,1.9,18.4,0,0,-2
Kevin Huerter,SAC,25,32,18,14,24.4,9.7,3.8,8.9,42.3,1.8,5.3,33.5,0.4,0.6,66.7,0.7,3,3.7,2.7,0.8,0.8,0.3,2,20.6,2,0,-0.8
