Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
KJ Martin,PHI,23,29,18,11,11.5,3.7,1.6,3,51.7,0.2,0.6,38.9,0.4,0.7,57.9,0.4,1.5,1.9,0.9,0.4,0.2,0.2,1.5,8.1,0,0,-2.5
Nassir Little,PHX,24,20,13,7,12.6,3.7,1.4,3.1,45.9,0.5,1.7,30.3,0.4,0.4,100,0.5,1.8,2.3,0.6,0.4,0.3,0.2,1.2,8.5,0,0,-2.1
Yuta Watanabe,MEM,29,18,8,10,15.8,3.7,1.3,3.9,33.8,0.8,2.8,27.5,0.2,0.4,50,0.3,1.3,1.6,0.7,0.4,0.4,0.2,1.2,8.1,0,0,-2.5
Patty Mills,MIA,35,17,8,9,12.2,3.6,1.4,3.6,37.1,0.5,2.4,22.5,0.4,0.4,100,0.2,0.6,0.9,0.6,0.3,0.6,0,0.8,7.1,0,0,0.3
Keita Bates-Diop,BKN,28,24,14,10,13.4,3.6,1.3,3.2,40.8,0.4,1.3,28.1,0.7,1,69.6,0.5,1.6,2.1,0.7,0.3,0.5,0,0.8,8.6,0,0,-3
Terquavion Smith,PHI,21,10,4,6,5.2,3.6,1.3,2.9,44.8,0.9,2.1,42.9,0.1,0.3,33.3,0,0.3,0.3,0.5,0.4,0.3,0,0.4,5.2,0,0,-0.8
Garrett Temple,TOR,37,12,3,9,10.3,3.6,1.2,2.5,46.7,0.6,1.5,38.9,0.7,0.8,80,0.5,1.1,1.6,0.8,0.5,0.7,0.1,0.9,8.5,0,0,-2.2
Lester Quinones,GSW,23,18,10,8,8,3.6,1.3,3.4,37.1,0.7,2.1,32.4,0.3,0.5,66.7,0.5,1.1,1.6,0.6,0.4,0.1,0,1.2,6.3,0,0,-0.2
Jordan McLaughlin,MIN,28,27,19,8,11.6,3.5,1.3,2.8,45.3,0.7,1.7,43.5,0.3,0.4,70,0.4,0.8,1.3,2.5,0.4,0.6,0.1,0.4,10.6,0,0,3.9
Justin Holiday,DEN,35,30,23,7,14.6,3.5,1.3,3.1,42.4,0.8,2,41,0.1,0.1,100,0.2,1,1.2,1.3,0.3,0.8,0.2,0.9,9.6,0,0,1.5
T.J. Warren,MIN,30,4,3,1,7.9,3.5,1.3,2.5,50,0.3,1,25,0.8,1,75,0.3,1.5,1.8,0,0,0,0.3,0.3,6.4,0,0,2
Robert Covington,PHI,33,15,11,4,17,3.5,1.2,3.4,35.3,0.4,1.9,20.7,0.7,0.7,100,1.3,2.2,3.5,0.9,0.3,1.3,0.7,1.5,14.7,0,0,6
JaVale McGee,SAC,36,22,15,7,7.3,3.5,1.5,2.5,59.3,0,0.1,33.3,0.5,1,52.4,0.6,1.6,2.2,0.5,0.7,0.3,0.5,1.1,8.6,0,0,-0.7
Dylan Windler,ATL,27,9,6,3,8.7,3.4,1.2,2.2,55,1,2,50,0,0,0,0.3,0.9,1.2,0.6,0.2,0.2,0,0.3,6.2,0,0,-1.7
Shake Milton,NYK,27,21,18,3,10.4,3.4,1.2,3.4,35.2,0.1,1.1,12.5,0.9,1,86.4,0.1,1,1,1,0.5,0.5,0.1,0.8,7.4,0,0,-2.1
Ashton Hagans,POR,24,12,0,12,14.5,3.4,1.3,3.3,41,0.3,1.2,28.6,0.4,0.7,62.5,0.8,1.4,2.2,2.3,1.2,0.3,0.4,1.8,10.6,0,0,-2.4
A.J. Lawson,DAL,23,23,13,10,7.5,3.4,1.3,2.9,43.9,0.5,1.3,40,0.3,0.5,72.7,0.4,0.9,1.3,0.6,0.3,0.2,0.1,0.6,6.4,0,0,1.5
Alex Len,SAC,30,23,13,10,10.2,3.4,1.3,2,67.4,0,0,0,0.7,1.2,59.3,1,1.6,2.6,1.2,0.7,0.3,0.9,1.7,11.1,0,0,3.9
JD Davison,BOS,21,3,3,0,10.2,3.3,1,3,33.3,0.3,1.3,25,1,1.3,75,0.7,2,2.7,3,0.7,0.3,0.3,1,12.4,0,0,4.7
DeAndre Jordan,DEN,35,20,16,4,10.3,3.3,1.5,2,74.4,0,0,0,0.4,0.8,50,1.3,2.9,4.2,0.7,0.6,0.1,0.5,1.7,10.4,0,0,-1.2
Kenneth Lofton Jr.,UTA,21,10,2,8,7.7,3.3,1.2,2.8,42.9,0.3,0.9,33.3,0.6,0.8,75,0.5,1.1,1.6,0.9,0.7,0.3,0.2,0.8,7.4,0,0,-0.2
Micah Potter,UTA,26,7,2,5,9.7,3.3,1.1,1.7,66.7,0.6,0.9,66.7,0.4,0.4,100,0.4,1.4,1.9,0.1,0,0,0,0.6,5.7,0,0,0.4
